"","GENEID","Alignment.x","Rank.x","baseMean.x","Alignment.y","Rank.y","baseMean.y","logMeanExpression","RankDiff","MeanRank","num.trans"
"1","ENSG00000282508","STAR",2972,195.962467854234,"HISAT2",1845,73.616859078912,5.45005469684724,1127,2408.5,NA
"2","ENSG00000244722","STAR",2126,94.8527686879672,"HISAT2",1162,65.1303372041977,4.84747252828283,964,1644,1
"3","ENSG00000241549","STAR",2808,296.1078449616,"HISAT2",1866,147.001922108152,5.91244516528369,942,2337,3
"4","ENSG00000196302","STAR",2440,180.23861967074,"HISAT2",1521,92.3184841740363,5.42229390175156,919,1980.5,NA
"5","ENSG00000213569","STAR",2021,166.512350194894,"HISAT2",2869,186.297041038384,5.55937643621188,-848,2445,NA
"6","ENSG00000267544","STAR",2666,217.567221541639,"HISAT2",1879,194.833971646817,5.75252250221976,787,2272.5,NA
"7","ENSG00000240919","STAR",3839,598.332606908757,"HISAT2",3132,285.446949339789,6.60807630607413,707,3485.5,NA
"8","ENSG00000213070","STAR",2143,106.191090772478,"HISAT2",1484,79.315917603985,4.9825721798336,659,1813.5,1
"9","ENSG00000225131","STAR",2153,141.29631001144,"HISAT2",1495,107.674422077288,5.27368404758144,658,1824,1
"10","ENSG00000241343","STAR",2685,220.353478140274,"HISAT2",2040,183.633898251758,5.74354927991171,645,2362.5,NA
"11","ENSG00000270629","STAR",4171,4811.33650646794,"HISAT2",3543,3476.46401977973,8.7871544510942,628,3857,10
"12","ENSG00000212710","STAR",2549,196.830453935826,"HISAT2",1937,115.496025898849,5.53960910629064,612,2243,4
"13","ENSG00000254206","STAR",3687,534.906992654292,"HISAT2",3083,320.920631079624,6.54444020695604,604,3385,6
"14","ENSG00000232037","STAR",3422,1717.75937964834,"HISAT2",3984,1441.56074093956,7.7991546760704,-562,3703,1
"15","ENSG00000225137","STAR",3990,1341.72179524468,"HISAT2",3444,1352.16633986708,7.60976554866023,546,3717,1
"16","ENSG00000242140","STAR",1822,77.9231325462542,"HISAT2",1278,57.8830803445081,4.67156329305356,544,1550,NA
"17","ENSG00000232699","STAR",3648,427.328864162228,"HISAT2",3108,207.344482649826,6.27476410313646,540,3378,NA
"18","ENSG00000230847","STAR",1662,633.441070846315,"HISAT2",2182,551.504679222184,6.81255784432499,-520,1922,NA
"19","ENSG00000213235","STAR",3471,601.354146530152,"HISAT2",3971,591.934387527434,6.7994140368072,-500,3721,1
"20","ENSG00000254634","STAR",3752,322.722043490371,"HISAT2",3252,252.368078848574,6.10681369640817,500,3502,1
"21","ENSG00000273590","STAR",4294,2460.53117023783,"HISAT2",3806,2258.99144272873,8.18591497215126,488,4050,7
"22","ENSG00000278198","STAR",1204,52.7334247825719,"HISAT2",718,38.4914678986509,4.27637661505685,486,961,NA
"23","ENSG00000213763","STAR",1959,137.832140908838,"HISAT2",1486,79.4241468992302,5.17921967287367,473,1722.5,NA
"24","ENSG00000214222","STAR",2253,199.47830173304,"HISAT2",1787,166.794949151346,5.64500784830243,466,2020,NA
"25","ENSG00000092096","STAR",2893,150.701208696522,"HISAT2",2443,131.945057145468,5.37839270723952,450,2668,NA
"26","ENSG00000227449","STAR",2783,141.760358744733,"HISAT2",2339,99.2787742570217,5.25436415129197,444,2561,3
"27","ENSG00000234004","STAR",4186,2279.72187291912,"HISAT2",3754,797.198142957574,7.89294536387908,432,3970,NA
