V1,Gene,Input.x,Rank.x,baseMean.x,Input.y,Rank.y,baseMean.y,logMeanExpression,RankDiff,MeanRank,Shrinkage,num.trans,Variant_Alleles,Dfam_conserved,Dfam_simple
1006,ENSG00000173805,TPM,2087,26.02585249,Counts,3243,17.40531282,3.547560932,-1156,2665,None,7,4998,25,2
300,ENSG00000137857,TPM,1029,21.91646013,Counts,2165,10.58366513,3.303521805,-1136,1597,None,12,8808,26,2
562,ENSG00000227373,TPM,1481,41.20503991,Counts,353,26.79156361,4.000048932,1128,917,None,7,10394,42,1
1875,ENSG00000100206,TPM,3217,25.54842302,Counts,2262,16.62857762,3.522314463,955,2739.5,None,7,10739,68,1
719,ENSG00000116183,TPM,1698,29.53733712,Counts,2597,21.79570372,3.69970042,-899,2147.5,None,5,80828,281,20
1202,ENSG00000148584,TPM,2354,46.91368143,Counts,3245,39.03293459,4.196151001,-891,2799.5,None,10,17767,57,0
1190,ENSG00000168967,TPM,2338,33.18524611,Counts,3130,24.43275518,3.815547869,-792,2734,None,4,2092,3,0
806,ENSG00000004468,TPM,1823,16.61251751,Counts,2586,11.77689219,3.113558135,-763,2204.5,None,5,16651,48,3
1386,ENSG00000063245,TPM,2583,85.49560801,Counts,3314,65.61241542,4.773239119,-731,2948.5,None,7,11129,26,0
1091,ENSG00000174898,TPM,2199,16.37190088,Counts,2905,11.89948224,3.105556701,-706,2552,None,3,15706,121,6
729,ENSG00000135835,TPM,1714,20.93293549,Counts,2418,13.74243726,3.325185438,-704,2066,None,5,9509,19,0
146,ENSG00000172725,TPM,724,30.64234248,Counts,1422,14.90274813,3.640049349,-698,1073,None,10,2763,1,0
582,ENSG00000196296,TPM,1506,15.42921027,Counts,2146,9.675957827,3.009003282,-640,1826,None,9,7038,32,0
618,ENSG00000188004,TPM,1560,19.13101695,Counts,2191,13.45272689,3.252596069,-631,1875.5,None,29,4611,18,0
967,ENSG00000141522,TPM,2026,52.04000987,Counts,2653,26.67245059,4.180158816,-627,2339.5,None,17,1504,0,0
489,ENSG00000198010,TPM,1364,15.77323738,Counts,1965,10.62895862,3.048690723,-601,1664.5,None,15,350351,446,18
1248,ENSG00000197632,TPM,2415,12.49829694,Counts,3007,11.36074158,2.900248804,-592,2711,None,6,7578,24,0
288,ENSG00000233117,TPM,1014,42.84486642,Counts,1600,26.63808408,4.028274352,-586,1307,None,16,10836,18,2
440,ENSG00000128918,TPM,1280,19.04088473,Counts,1842,13.87227764,3.257212438,-562,1561,None,25,140332,504,13
1110,ENSG00000126522,TPM,2229,53.08202627,Counts,2783,41.03178965,4.298616779,-554,2506,None,18,4780,38,1
1046,ENSG00000163517,TPM,2143,38.21771856,Counts,2640,31.45540877,3.987972849,-497,2391.5,None,21,6587,20,1
873,ENSG00000176358,TPM,1911,12.56721927,Counts,2399,9.031869453,2.838092832,-488,2155,None,8,2447,13,2
1363,ENSG00000158220,TPM,2557,24.94886557,Counts,3045,22.22753759,3.58525727,-488,2801,None,7,11001,48,0
1521,ENSG00000249776,TPM,2752,12.58507549,Counts,3240,8.927624975,2.83608498,-488,2996,None,3,53872,168,5
198,ENSG00000198796,TPM,844,46.72772979,Counts,363,45.23995361,4.239133076,481,603.5,None,6,32936,132,7
502,ENSG00000224687,TPM,1382,67.58221836,Counts,1844,47.69242988,4.515556517,-462,1613,None,4,824,1,0
1953,ENSG00000157551,TPM,3315,9.270134896,Counts,2856,7.854566768,2.580021226,459,3085.5,None,22,32882,97,5
1200,ENSG00000160321,TPM,2351,63.63605448,Counts,2805,52.93034234,4.500933768,-454,2578,None,7,19127,67,0
413,ENSG00000112782,TPM,1233,44.13539655,Counts,1652,35.21846654,4.123007005,-419,1442.5,None,14,46563,172,6
651,ENSG00000138675,TPM,1606,29.90704854,Counts,2017,19.78626006,3.683871399,-411,1811.5,None,5,16230,37,3
826,ENSG00000184697,TPM,1847,16.08683913,Counts,2250,15.03705159,3.161474013,-403,2048.5,None,3,1672,8,1
868,ENSG00000153012,TPM,1905,14.5070485,Counts,2300,11.67600811,3.012837764,-395,2102.5,None,2,7084,14,1
1498,ENSG00000261371,TPM,2724,11.42846379,Counts,3110,7.880433861,2.732331719,-386,2917,None,9,17835,90,5
273,ENSG00000262732,TPM,996,63.80597133,Counts,1377,44.52737968,4.455156982,-381,1186.5,None,2,1302,4,0
1366,ENSG00000147255,TPM,2561,33.40358562,Counts,2884,31.01099519,3.88996313,-323,2722.5,None,17,51179,245,14
1484,ENSG00000229337,TPM,2706,57.43389147,Counts,3023,52.17211213,4.425085496,-317,2864.5,None,3,21511,98,5
1967,ENSG00000138472,TPM,3336,10.57397499,Counts,3021,10.55956145,2.763406426,315,3178.5,None,3,10499,34,1
1667,ENSG00000159792,TPM,2953,66.96130574,Counts,3261,58.49078972,4.566499008,-308,3107,None,3,8105,30,0
1945,ENSG00000198959,TPM,3307,14.94028687,Counts,2999,14.80808914,3.106572662,308,3153,None,6,9665,41,2
622,ENSG00000185298,TPM,1565,29.34039456,Counts,1863,25.19953999,3.736243949,-298,1714,None,6,2189,5,0
1663,ENSG00000187024,TPM,2947,14.44886791,Counts,3244,14.21431267,3.070655325,-297,3095.5,None,9,8716,28,2
805,ENSG00000281379,TPM,1821,21.1651948,Counts,2110,19.19327225,3.426274666,-289,1965.5,None,3,249,7,0
1809,ENSG00000186854,TPM,3132,21.39350633,Counts,2846,15.89410103,3.378970752,286,2989,None,10,19681,75,3
1438,ENSG00000198216,TPM,2652,124.0404817,Counts,2934,110.156374,5.18804854,-282,2793,None,11,102711,383,13
1462,ENSG00000247498,TPM,2678,9.84178437,Counts,2954,8.05010725,2.629500234,-276,2816,None,10,13668,69,6
1550,ENSG00000189127,TPM,2791,21.16401868,Counts,3064,20.18837565,3.44228195,-273,2927.5,None,2,3017,4,2
1896,ENSG00000231811,TPM,3241,8.373631051,Counts,2970,8.445622957,2.533414435,271,3105.5,None,5,1163,5,0
763,ENSG00000243089,TPM,1763,24.10372755,Counts,2027,18.96897324,3.514175237,-264,1895,None,2,5043,15,1
1069,ENSG00000128309,TPM,2172,24.68017569,Counts,2435,18.40460517,3.522898016,-263,2303.5,None,8,2487,20,0
1228,ENSG00000099954,TPM,2385,45.7974848,Counts,2646,33.07915119,4.132556119,-261,2515.5,None,6,51076,209,5
1355,ENSG00000288637,TPM,2548,8.481601796,Counts,2797,8.387209963,2.539647863,-249,2672.5,None,5,57154,281,9
294,ENSG00000230262,TPM,1022,13.34823642,Counts,1255,13.18353716,2.992728015,-233,1138.5,None,7,,,
578,ENSG00000241322,TPM,1501,38.30917815,Counts,1730,33.85306405,4.011609668,-229,1615.5,None,8,,,
506,ENSG00000184408,TPM,1387,56.21452887,Counts,1613,51.78131151,4.408001165,-226,1500,None,3,,,
1460,ENSG00000234548,TPM,2676,49.95224763,Counts,2901,49.78985975,4.315448401,-225,2788.5,None,27,,,
1752,ENSG00000170890,TPM,3064,15.08402828,Counts,2839,15.19439408,3.121537504,225,2951.5,None,3,,,
1315,ENSG00000197852,TPM,2504,42.81590626,Counts,2728,40.35807272,4.143054447,-224,2616,None,5,,,
1661,ENSG00000185215,TPM,2945,22.97933777,Counts,3165,20.07983761,3.497090924,-220,3055,None,11,,,
1142,ENSG00000233436,TPM,2272,23.81829907,Counts,2489,22.08822269,3.551409183,-217,2380.5,None,3,,,
1396,ENSG00000234753,TPM,2595,28.75520402,Counts,2812,27.13652239,3.745341665,-217,2703.5,None,5,,,
1361,ENSG00000134138,TPM,2554,26.54052171,Counts,2766,25.61611961,3.672459926,-212,2660,None,27,,,
1775,ENSG00000259479,TPM,3094,26.26925923,Counts,2885,23.91536546,3.643540554,209,2989.5,None,4,,,
784,ENSG00000049249,TPM,1793,85.9210489,Counts,1586,66.95662388,4.782473848,207,1689.5,None,5,,,
1160,ENSG00000154545,TPM,2300,45.03548038,Counts,2094,43.81699665,4.203856131,206,2197,None,11,,,
415,ENSG00000080644,TPM,1235,14.62817241,Counts,1430,12.91479464,3.048588908,-195,1332.5,None,8,,,
595,ENSG00000134762,TPM,1529,11.71250077,Counts,1723,9.749020221,2.808619912,-194,1626,None,3,,,
1028,ENSG00000104361,TPM,2115,19.461385,Counts,2308,18.2190813,3.352389615,-193,2211.5,None,8,,,
1423,ENSG00000228649,TPM,2631,73.60766226,Counts,2441,73.83737763,4.705253964,190,2536,None,13,,,
780,ENSG00000081051,TPM,1787,21.51045398,Counts,1973,17.01436021,3.401785012,-186,1880,None,7,,,
1720,ENSG00000125844,TPM,3023,51.98441929,Counts,3209,49.47613407,4.340194838,-186,3116,None,11,,,
987,ENSG00000138411,TPM,2056,139.7147155,Counts,1872,135.964317,5.33607968,184,1964,None,17,,,
1179,ENSG00000255435,TPM,2326,43.61909264,Counts,2509,40.53550483,4.157113472,-183,2417.5,None,5,,,
1890,ENSG00000170160,TPM,3234,106.9143523,Counts,3053,103.9755507,5.068288463,181,3143.5,None,13,,,
894,ENSG00000227165,TPM,1936,16.47277,Counts,1757,15.91104559,3.195742001,179,1846.5,None,10,,,
1966,ENSG00000285103,TPM,3335,89.37038008,Counts,3157,89.62779225,4.899214051,178,3246,None,2,,,
1903,ENSG00000169403,TPM,3251,37.37768779,Counts,3075,36.15370253,4.015563569,176,3163,None,3,,,
1453,ENSG00000084453,TPM,2667,27.01461907,Counts,2494,18.57619754,3.59189261,173,2580.5,None,17,,,
1933,ENSG00000082126,TPM,3290,15.28190895,Counts,3118,14.59669574,3.117075933,172,3204,None,12,,,
919,ENSG00000257711,TPM,1966,28.84272554,Counts,1795,26.17785963,3.736041039,171,1880.5,None,3,,,
986,ENSG00000106351,TPM,2055,14.51641164,Counts,2223,12.64080537,3.036721341,-168,2139,None,5,,,
827,ENSG00000140297,TPM,1848,18.55728893,Counts,1682,17.33893502,3.304200182,166,1765,None,10,,,
1562,ENSG00000149294,TPM,2805,228.8941513,Counts,2642,228.7148481,5.838463634,163,2723.5,None,30,,,
563,ENSG00000129173,TPM,1482,34.664827,Counts,1644,29.9991613,3.905288533,-162,1563,None,5,,,
135,ENSG00000216937,TPM,687,171.1065273,Counts,846,128.1103179,5.460273304,-159,766.5,None,16,,,
629,ENSG00000249237,TPM,1576,11.36132503,Counts,1417,10.90900395,2.822320526,159,1496.5,None,3,,,
888,ENSG00000229859,TPM,1927,9.786875143,Counts,1768,9.458879549,2.675273184,159,1847.5,None,8,,,
1666,ENSG00000154654,TPM,2952,61.62672732,Counts,3111,57.69564816,4.505068611,-159,3031.5,None,5,,,
1729,ENSG00000166173,TPM,3035,61.84760206,Counts,2876,61.53506418,4.528452564,159,2955.5,None,5,,,
494,ENSG00000144339,TPM,1371,72.92910811,Counts,1528,64.68933511,4.656564344,-157,1449.5,None,4,,,
551,ENSG00000197249,TPM,1462,21.61729535,Counts,1308,21.22344743,3.47286726,154,1385,None,20,,,
225,ENSG00000100097,TPM,894,38.16355363,Counts,1043,30.84022826,3.981244316,-149,968.5,None,7,,,
1402,ENSG00000172137,TPM,2604,17.48253445,Counts,2455,17.71456687,3.271081782,149,2529.5,None,5,,,
236,ENSG00000164342,TPM,916,33.1089302,Counts,1063,29.3926288,3.867135353,-147,989.5,None,5,,,
910,ENSG00000259316,TPM,1955,50.43054548,Counts,1808,32.11886456,4.197051226,147,1881.5,None,15,,,
1427,ENSG00000188452,TPM,2637,70.39761213,Counts,2784,66.13685283,4.639243429,-147,2710.5,None,14,,,
648,ENSG00000143515,TPM,1602,73.31091261,Counts,1746,63.481588,4.654452673,-144,1674,None,7,,,
755,ENSG00000205111,TPM,1751,8.964258755,Counts,1895,8.534258994,2.582591905,-144,1823,None,4,,,
1889,ENSG00000251615,TPM,3233,40.40716537,Counts,3089,40.9660862,4.109072381,144,3161,None,1,,,
526,ENSG00000183914,TPM,1421,33.55263166,Counts,1564,29.73866234,3.879953488,-143,1492.5,None,6,,,
1965,ENSG00000186787,TPM,3334,50.22248825,Counts,3191,50.01406032,4.320543686,143,3262.5,None,5,,,
1150,ENSG00000131979,TPM,2283,29.82830928,Counts,2141,29.81641403,3.800790087,142,2212,None,6,,,
423,ENSG00000205002,TPM,1248,18.63849486,Counts,1108,15.26615953,3.268487542,140,1178,None,2,,,
1803,ENSG00000122584,TPM,3126,42.26410593,Counts,3266,41.70146535,4.144955902,-140,3196,None,5,,,
1613,ENSG00000135824,TPM,2871,81.58458018,Counts,2733,80.54249955,4.802838624,138,2802,None,7,,,
1623,ENSG00000180592,TPM,2887,105.035123,Counts,2749,105.729394,5.061960781,138,2818,None,4,,,
522,ENSG00000174500,TPM,1413,26.58612489,Counts,1549,23.25074629,3.643136466,-136,1481,None,7,,,
1021,ENSG00000174371,TPM,2104,42.72788691,Counts,2240,41.3714744,4.14967873,-136,2172,None,12,,,
1565,ENSG00000242866,TPM,2808,76.30338806,Counts,2672,74.60629494,4.732741036,136,2740,None,13,,,
1798,ENSG00000223382,TPM,3121,43.18584958,Counts,2987,42.4054966,4.164936566,134,3054,None,14,,,
1901,ENSG00000167447,TPM,3249,145.4143118,Counts,3115,146.7615613,5.388135641,134,3182,None,6,,,
200,ENSG00000225626,TPM,850,17.37072076,Counts,983,16.5534354,3.244443702,-133,916.5,None,7,,,
1884,ENSG00000286747,TPM,3228,42.59794687,Counts,3095,43.07393134,4.160988873,133,3161.5,None,1,,,
1570,ENSG00000270164,TPM,2817,32.35099907,Counts,2685,31.91958119,3.877654924,132,2751,None,4,,,
1275,ENSG00000279762,TPM,2451,12.74859827,Counts,2322,12.84849632,2.953495029,129,2386.5,None,2,,,
89,ENSG00000148942,TPM,594,42.1889055,Counts,722,31.82119417,4.062157102,-128,658,None,5,,,
1022,ENSG00000166863,TPM,2105,20.02870921,Counts,1977,20.38883661,3.408607443,128,2041,None,10,,,
1481,ENSG00000227496,TPM,2702,8.87681895,Counts,2575,8.832644461,2.587248201,127,2638.5,None,6,,,
1710,ENSG00000179299,TPM,3009,366.4193624,Counts,2882,362.9050118,6.306041443,127,2945.5,None,7,,,
1238,ENSG00000111886,TPM,2401,39.37996293,Counts,2526,35.38952631,4.044361393,-125,2463.5,None,3,,,
1656,ENSG00000241956,TPM,2938,109.0302715,Counts,2814,109.8873972,5.099707697,124,2876,None,26,,,
429,ENSG00000267272,TPM,1259,10.93966393,Counts,1136,9.808824002,2.762795672,123,1197.5,None,11,,,
1450,ENSG00000271945,TPM,2664,16.28452686,Counts,2541,16.40562739,3.198156272,123,2602.5,None,3,,,
1520,ENSG00000142197,TPM,2751,108.2232106,Counts,2628,109.1443669,5.092494161,123,2689.5,None,4,,,
1463,ENSG00000234377,TPM,2679,44.59444909,Counts,2561,44.7988833,4.204601432,118,2620,None,14,,,
398,ENSG00000147488,TPM,1205,50.25772895,Counts,1322,45.62971612,4.29145329,-117,1263.5,None,24,,,
707,ENSG00000151062,TPM,1682,24.85754424,Counts,1565,23.01098082,3.593552727,117,1623.5,None,26,,,
1850,ENSG00000249054,TPM,3184,23.88168331,Counts,3067,24.43801349,3.58631198,117,3125.5,None,2,,,
1426,ENSG00000085831,TPM,2636,53.04747151,Counts,2752,51.2798503,4.365482999,-116,2694,None,18,,,
722,ENSG00000154930,TPM,1702,25.1388342,Counts,1587,25.22820612,3.631063281,115,1644.5,None,5,,,
446,ENSG00000231924,TPM,1290,57.76034412,Counts,1404,56.44285878,4.454135338,-114,1347,None,11,,,
1604,ENSG00000148773,TPM,2861,142.0512289,Counts,2975,124.1483203,5.318734457,-114,2918,None,5,,,
1271,ENSG00000146530,TPM,2446,18.97632018,Counts,2559,18.52074474,3.340622286,-113,2502.5,None,8,,,
1221,ENSG00000134297,TPM,2376,43.09429674,Counts,2488,37.82143373,4.127215246,-112,2432,None,4,,,
1515,ENSG00000260922,TPM,2746,29.38535126,Counts,2634,29.83629724,3.791063678,112,2690,None,2,,,
1529,ENSG00000241973,TPM,2761,126.741539,Counts,2873,121.8221936,5.234592572,-112,2817,None,18,,,
1713,ENSG00000078487,TPM,3012,34.783034,Counts,3124,33.97806972,3.946850793,-112,3068,None,8,,,
58,ENSG00000135373,TPM,498,24.0652179,Counts,609,20.93497529,3.541906862,-111,553.5,None,12,,,
1789,ENSG00000234383,TPM,3110,101.7603516,Counts,3000,103.0428476,5.032277897,110,3055,None,1,,,
1885,ENSG00000176170,TPM,3229,34.66410714,Counts,3119,34.8717353,3.953164465,110,3174,None,10,,,
1704,ENSG00000182551,TPM,3003,379.6701559,Counts,2895,376.4238064,6.341913755,108,2949,None,3,,,
1735,ENSG00000180425,TPM,3043,37.8045643,Counts,3151,37.71946116,4.037144293,-108,3097,None,2,,,
1742,ENSG00000106305,TPM,3053,163.5554196,Counts,2945,165.8357556,5.507253661,108,2999,None,4,,,
1899,ENSG00000256325,TPM,3247,19.12167173,Counts,3139,19.51793811,3.363171502,108,3193,None,1,,,
1052,ENSG00000249839,TPM,2151,44.7289268,Counts,2044,45.46771792,4.211576124,107,2097.5,None,1,,,
1744,ENSG00000224877,TPM,3055,63.85948992,Counts,3162,61.68962704,4.550759442,-107,3108.5,None,6,,,
1267,ENSG00000112655,TPM,2441,107.2184741,Counts,2335,108.4938383,5.084290837,106,2388,None,20,,,
1393,ENSG00000131015,TPM,2592,136.5060863,Counts,2486,138.7350172,5.327262364,106,2539,None,1,,,
1445,ENSG00000140939,TPM,2659,76.74545406,Counts,2553,77.68967913,4.750051988,106,2606,None,13,,,
1464,ENSG00000178917,TPM,2680,114.8232279,Counts,2574,115.8071286,5.151711111,106,2627,None,4,,,
1615,ENSG00000269911,TPM,2874,37.71154584,Counts,2769,38.27904631,4.040435024,105,2821.5,None,1,,,
1545,ENSG00000067842,TPM,2783,70.88020853,Counts,2679,70.74956813,4.665841796,104,2731,None,7,,,
584,ENSG00000196154,TPM,1508,31.7789392,Counts,1405,32.15684171,3.868224921,103,1456.5,None,6,,,
1073,ENSG00000255690,TPM,2176,54.09470906,Counts,2073,54.83576395,4.400757499,103,2124.5,None,1,,,
1479,ENSG00000225963,TPM,2699,17.90901704,Counts,2596,17.24021511,3.278243171,103,2647.5,None,11,,,
1695,ENSG00000228022,TPM,2988,20.08872316,Counts,3091,20.57212504,3.413612846,-103,3039.5,None,4,,,
1799,ENSG00000132773,TPM,3122,74.63506593,Counts,3019,75.49924149,4.721927689,103,3070.5,None,5,,,
1322,ENSG00000254300,TPM,2511,20.54099027,Counts,2409,20.90290732,3.43374343,102,2460,None,1,,,
1338,ENSG00000164647,TPM,2530,27.28365432,Counts,2428,27.16087814,3.710251765,102,2479,None,3,,,
351,ENSG00000145975,TPM,1123,60.13228502,Counts,1224,48.019957,4.43250898,-101,1173.5,None,8,,,
580,ENSG00000160471,TPM,1503,102.1046915,Counts,1604,92.82465876,5.00069957,-101,1553.5,None,10,,,
899,ENSG00000205089,TPM,1942,14.51711117,Counts,2043,13.45128455,3.056015823,-101,1992.5,None,4,,,
1015,ENSG00000125864,TPM,2096,14.45995675,Counts,2197,13.50842015,3.054669205,-101,2146.5,None,5,,,
1422,ENSG00000151917,TPM,2630,47.34032515,Counts,2731,45.80888194,4.251985802,-101,2680.5,None,4,,,
1512,ENSG00000254066,TPM,2742,24.96970236,Counts,2843,25.21106541,3.626345191,-101,2792.5,None,9,,,
1821,ENSG00000091664,TPM,3150,36.22273879,Counts,3251,34.85595788,3.982494847,-101,3200.5,None,3,,,
475,ENSG00000239677,TPM,1331,57.67905867,Counts,1231,57.98408959,4.462120535,100,1281,None,4,,,
867,ENSG00000188056,TPM,1904,21.25197852,Counts,1804,20.87274242,3.455949097,100,1854,None,3,,,
1122,ENSG00000257556,TPM,2244,11.2678058,Counts,2144,10.78361479,2.812987419,100,2194,None,5,,,
1773,ENSG00000168334,TPM,3091,8.811803947,Counts,2991,9.109256011,2.592746486,100,3041,None,3,,,
1026,ENSG00000135905,TPM,2111,111.3480529,Counts,2210,100.8791083,5.086284407,-99,2160.5,None,14,,,
1262,ENSG00000089351,TPM,2435,26.42516645,Counts,2337,25.86786285,3.672727152,98,2386,None,14,,,
1414,ENSG00000091513,TPM,2620,46.88932546,Counts,2718,44.74391268,4.237886046,-98,2669,None,14,,,
1476,ENSG00000145990,TPM,2696,93.30975817,Counts,2598,94.31536259,4.944975714,98,2647,None,6,,,
1672,ENSG00000122861,TPM,2958,411.763504,Counts,2860,324.0628639,6.352272078,98,2909,None,5,,,
1675,ENSG00000267607,TPM,2961,14.13807804,Counts,2863,14.34637068,3.05923573,98,2912,None,1,,,
