V1,Gene,Input.x,Rank.x,baseMean.x,Input.y,Rank.y,baseMean.y,logMeanExpression,RankDiff,MeanRank,Shrinkage,num.trans,Variant_Alleles,Dfam_conserved,Dfam_simple
141,ENSG00000186854,TPM,491,21.39350633,Counts,331,15.89410103,3.378970752,160,411,None,10,19681,75,3
159,ENSG00000148584,TPM,550,46.91368143,Counts,703,39.03293459,4.196151001,-153,626.5,None,10,17767,57,0
177,ENSG00000063245,TPM,618,85.49560801,Counts,750,65.61241542,4.773239119,-132,684,None,7,11129,26,0
70,ENSG00000084453,TPM,291,27.01461907,Counts,183,18.57619754,3.59189261,108,237,None,17,35645,96,6
29,ENSG00000173805,TPM,163,26.02585249,Counts,263,17.40531282,3.547560932,-100,213,None,7,4998,25,2
84,ENSG00000232671,TPM,323,12.6329425,Counts,238,9.225029263,2.847548754,85,280.5,None,4,612,3,0
280,ENSG00000198216,TPM,1026,124.0404817,Counts,1109,110.156374,5.18804854,-83,1067.5,None,11,102711,383,13
80,ENSG00000261371,TPM,316,11.42846379,Counts,235,7.880433861,2.732331719,81,275.5,None,9,17835,90,5
23,ENSG00000157551,TPM,131,9.270134896,Counts,51,7.854566768,2.580021226,80,91,None,22,32882,97,5
44,ENSG00000168967,TPM,206,33.18524611,Counts,284,24.43275518,3.815547869,-78,245,None,4,2092,3,0
123,ENSG00000151062,TPM,420,24.85754424,Counts,342,23.01098082,3.593552727,78,381,None,26,30539,76,3
112,ENSG00000082126,TPM,396,15.28190895,Counts,320,14.59669574,3.117075933,76,358,None,12,11802,44,1
92,ENSG00000163517,TPM,346,38.21771856,Counts,419,31.45540877,3.987972849,-73,382.5,None,21,6587,20,1
171,ENSG00000099954,TPM,597,45.7974848,Counts,525,33.07915119,4.132556119,72,561,None,6,51076,209,5
212,ENSG00000229337,TPM,717,57.43389147,Counts,786,52.17211213,4.425085496,-69,751.5,None,3,21511,98,5
368,ENSG00000170160,TPM,1509,106.9143523,Counts,1442,103.9755507,5.068288463,67,1475.5,None,13,17820,49,1
125,ENSG00000128309,TPM,438,24.68017569,Counts,372,18.40460517,3.522898016,66,405,None,8,2487,20,0
90,ENSG00000126522,TPM,339,53.08202627,Counts,404,41.03178965,4.298616779,-65,371.5,None,18,4780,38,1
27,ENSG00000112782,TPM,157,44.13539655,Counts,221,35.21846654,4.123007005,-64,189,None,14,46563,172,6
34,ENSG00000233117,TPM,178,42.84486642,Counts,115,26.63808408,4.028274352,63,146.5,None,16,10836,18,2
50,ENSG00000138675,TPM,215,29.90704854,Counts,155,19.78626006,3.683871399,60,185,None,5,16230,37,3
12,ENSG00000116183,TPM,87,29.53733712,Counts,145,21.79570372,3.69970042,-58,116,None,5,80828,281,20
291,ENSG00000234548,TPM,1061,49.95224763,Counts,1119,49.78985975,4.315448401,-58,1090,None,27,3856,18,1
102,ENSG00000198959,TPM,370,14.94028687,Counts,313,14.80808914,3.106572662,57,341.5,None,6,9665,41,2
146,ENSG00000271860,TPM,521,34.46090673,Counts,465,32.32699596,3.924433767,56,493,None,51,245605,724,45
134,ENSG00000185215,TPM,467,22.97933777,Counts,412,20.07983761,3.497090924,55,439.5,None,11,4322,2,0
20,ENSG00000205002,TPM,121,18.63849486,Counts,68,15.26615953,3.268487542,53,94.5,None,2,1441,8,0
85,ENSG00000158220,TPM,325,24.94886557,Counts,378,22.22753759,3.58525727,-53,351.5,None,7,11001,48,0
256,ENSG00000197852,TPM,925,42.81590626,Counts,977,40.35807272,4.143054447,-52,951,None,5,16920,66,5
91,ENSG00000224687,TPM,340,67.58221836,Counts,391,47.69242988,4.515556517,-51,365.5,None,4,824,1,0
101,ENSG00000141522,TPM,369,52.04000987,Counts,318,26.67245059,4.180158816,51,343.5,None,17,1504,0,0
136,ENSG00000257711,TPM,473,28.84272554,Counts,422,26.17785963,3.736041039,51,447.5,None,3,1180,7,0
140,ENSG00000147255,TPM,490,33.40358562,Counts,541,31.01099519,3.88996313,-51,515.5,None,17,51179,245,14
47,ENSG00000081051,TPM,210,21.51045398,Counts,162,17.01436021,3.401785012,48,186,None,7,5945,21,0
86,ENSG00000259479,TPM,330,26.26925923,Counts,282,23.91536546,3.643540554,48,306,None,4,13120,49,1
97,ENSG00000189127,TPM,363,21.16401868,Counts,410,20.18837565,3.44228195,-47,386.5,None,2,3017,4,2
99,ENSG00000138472,TPM,366,10.57397499,Counts,319,10.55956145,2.763406426,47,342.5,None,3,10499,34,1
57,ENSG00000205086,TPM,230,16.99930056,Counts,184,14.80488111,3.194654487,46,207,None,4,5249,14,3
116,ENSG00000057704,TPM,409,85.87034062,Counts,364,82.42879816,4.844854106,45,386.5,None,4,18440,66,4
355,ENSG00000166173,TPM,1437,61.84760206,Counts,1392,61.53506418,4.528452564,45,1414.5,None,5,5409,23,0
98,ENSG00000233436,TPM,365,23.81829907,Counts,409,22.08822269,3.551409183,-44,387,None,3,2005,9,0
324,ENSG00000164050,TPM,1279,136.746821,Counts,1323,133.3131597,5.315191204,-44,1301,None,19,7218,5,0
82,ENSG00000163297,TPM,319,148.3486573,Counts,276,118.3051667,5.335137319,43,297.5,None,9,47123,109,11
160,ENSG00000134297,TPM,551,43.09429674,Counts,508,37.82143373,4.127215246,43,529.5,None,4,9477,43,2
233,ENSG00000084774,TPM,797,75.29961986,Counts,755,64.49478335,4.677928069,42,776,None,11,7784,16,0
275,ENSG00000180425,TPM,999,37.8045643,Counts,1041,37.71946116,4.037144293,-42,1020,None,2,2401,13,1
340,ENSG00000285103,TPM,1352,89.37038008,Counts,1310,89.62779225,4.899214051,42,1331,None,2,3494,14,0
63,ENSG00000125864,TPM,250,14.45995675,Counts,209,13.50842015,3.054669205,41,229.5,None,5,16740,77,0
126,ENSG00000187024,TPM,443,14.44886791,Counts,484,14.21431267,3.070655325,-41,463.5,None,9,8716,28,2
179,ENSG00000159792,TPM,624,66.96130574,Counts,665,58.49078972,4.566499008,-41,644.5,None,3,8105,30,0
189,ENSG00000227210,TPM,647,29.35804457,Counts,606,26.34784719,3.750255985,41,626.5,None,2,,,
252,ENSG00000169403,TPM,915,37.37768779,Counts,874,36.15370253,4.015563569,41,894.5,None,3,,,
561,ENSG00000280739,TPM,2293,215.4383137,Counts,2252,216.7773273,5.780209353,41,2272.5,None,13,,,
21,ENSG00000148942,TPM,126,42.1889055,Counts,86,31.82119417,4.062157102,40,106,None,5,,,
52,ENSG00000140297,TPM,218,18.55728893,Counts,178,17.33893502,3.304200182,40,198,None,10,,,
435,ENSG00000142599,TPM,1825,692.5149298,Counts,1865,661.1789178,6.930596802,-40,1845,None,20,,,
167,ENSG00000125912,TPM,577,17.11827126,Counts,538,15.7439772,3.218486143,39,557.5,None,8,,,
217,ENSG00000247796,TPM,737,52.92770959,Counts,698,48.88694741,4.348614402,39,717.5,None,10,,,
221,ENSG00000268061,TPM,748,30.1846552,Counts,709,28.03600633,3.788784931,39,728.5,None,2,,,
302,ENSG00000204356,TPM,1137,143.9799242,Counts,1176,138.9179894,5.363350697,-39,1156.5,None,14,,,
118,ENSG00000154930,TPM,412,25.1388342,Counts,374,25.22820612,3.631063281,38,393,None,5,,,
363,ENSG00000136279,TPM,1474,194.5245834,Counts,1436,184.2765489,5.658306814,38,1455,None,22,,,
381,ENSG00000185305,TPM,1565,242.7013888,Counts,1527,233.3645285,5.884390489,38,1546,None,7,,,
231,ENSG00000231924,TPM,794,57.76034412,Counts,831,56.44285878,4.454135338,-37,812.5,None,11,,,
298,ENSG00000224877,TPM,1101,63.85948992,Counts,1138,61.68962704,4.550759442,-37,1119.5,None,6,,,
380,ENSG00000246273,TPM,1558,94.66918185,Counts,1521,92.84307,4.949403065,37,1539.5,None,10,,,
442,ENSG00000149294,TPM,1874,228.8941513,Counts,1837,228.7148481,5.838463634,37,1855.5,None,30,,,
31,ENSG00000197632,TPM,169,12.49829694,Counts,205,11.36074158,2.900248804,-36,187,None,6,,,
37,ENSG00000197249,TPM,186,21.61729535,Counts,151,21.22344743,3.47286726,35,168.5,None,20,,,
