X,GENEID,Alignment.x,Rank.x,baseMean.x,Alignment.y,Rank.y,baseMean.y,logMeanExpression,RankDiff,MeanRank,num.trans,Description,Gene_name,Somatic_recombination_before_transcription,Variant_Alleles,Dfam_conserved,Dfam_simple
1,ENSG00000282508,STAR,2972,195.9624679,HISAT2,1845,73.61685908,5.450054697,1127,2408.5,39,long intergenic non-protein coding RNA 1002,LINC01002,,7117,48,1
2,ENSG00000244722,STAR,2126,94.85276869,HISAT2,1162,65.1303372,4.847472528,964,1644,1,ribosomal protein SA pseudogene 29,RPSAP29,,192,0,0
3,ENSG00000241549,STAR,2808,296.107845,HISAT2,1866,147.0019221,5.912445165,942,2337,3,"glucuronidase, beta pseudogene 2",GUSBP2 ,,17334,62,5
4,ENSG00000196302,STAR,2440,180.2386197,HISAT2,1521,92.31848417,5.422293902,919,1980.5,1,GUSB pseudogene 15,GUSBP15 ,,2299,29,2
5,ENSG00000213569,STAR,2021,166.5123502,HISAT2,2869,186.297041,5.559376436,-848,2445,1,GTF3C6 pseudogene 2,GTF3C6P2,,95,0,0
6,ENSG00000267544,STAR,2666,217.5672215,HISAT2,1879,194.8339716,5.752522502,787,2272.5,1,HIKESHI pseudogene ,HIKESHIP2,,89,1,0
7,ENSG00000240919,STAR,3839,598.3326069,HISAT2,3132,285.4469493,6.608076306,707,3485.5,1,ribosomal protein L21 (RPL21) pseudogene,AC022034.2 ,,201,1,0
8,ENSG00000213070,STAR,2143,106.1910908,HISAT2,1484,79.3159176,4.98257218,659,1813.5,1,high mobility group box 3 pseudogene 6 ,HMGB3P6,,152,0,0
9,ENSG00000225131,STAR,2153,141.29631,HISAT2,1495,107.6744221,5.273684048,658,1824,1,proteasome activator subunit 2 pseudogene 2,PSME2P2 ,,171,0,0
10,ENSG00000241343,STAR,2685,220.3534781,HISAT2,2040,183.6338983,5.74354928,645,2362.5,10,ribosomal protein L36a,RPL36A ,,1011,5,1
11,ENSG00000270629,STAR,4171,4811.336506,HISAT2,3543,3476.46402,8.787154451,628,3857,10,NBPF member 14,NBPF14 ,,21641,55,3
12,ENSG00000212710,STAR,2549,196.8304539,HISAT2,1937,115.4960259,5.539609106,612,2243,2,cutaneous T cell lymphoma-associated antigen 1 ,CTAGE1 ,,1440,0,0
13,ENSG00000254206,STAR,3687,534.9069927,HISAT2,3083,320.9206311,6.544440207,604,3385,2,nuclear pore complex interacting protein family member B11,NPIPB11,,6544,21,1
14,ENSG00000232037,STAR,3422,1717.75938,HISAT2,3984,1441.560741,7.799154676,-562,3703,1,ribosomal protein L21 (RPL21) pseudogene,AL590556.1 ,,124,0,0
15,ENSG00000225137,STAR,3990,1341.721795,HISAT2,3444,1352.16634,7.609765549,546,3717,1,dynein cytoplasmic 1 intermediate chain 2 pseudogene 1,DYNC1I2P1,,469,0,0
16,ENSG00000242140,STAR,1822,77.92313255,HISAT2,1278,57.88308034,4.671563293,544,1550,1,matrin 3 (MATR3) pseudogene,AC083904.1 ,,49,1,0
17,ENSG00000232699,STAR,3648,427.3288642,HISAT2,3108,207.3444826,6.274764103,540,3378,1,"3-hydroxybutyrate dehydrogenase 2, pseudogene 1",BDH2P1,,171,0,0
18,ENSG00000230847,STAR,1662,633.4410708,HISAT2,2182,551.5046792,6.812557844,-520,1922,1,OCLN pseudogene 1 ,OCLNP1 ,,1866,22,0
19,ENSG00000213235,STAR,3471,601.3541465,HISAT2,3971,591.9343875,6.799414037,-500,3721,1,eukaryotic translation elongation factor 1 alpha 1 pseudogene 16,EEF1A1P16 ,,303,0,0
20,ENSG00000254634,STAR,3752,322.7220435,HISAT2,3252,252.3680788,6.106813696,500,3502,1,SMG1 pseudogene 6 ,SMG1P6,,3395,14,0
21,ENSG00000273590,STAR,4294,2460.53117,HISAT2,3806,2258.991443,8.185914972,488,4050,7,small integral membrane protein 11B,SMIM11B ,,1418,25,1
23,ENSG00000213763,STAR,1959,137.8321409,HISAT2,1486,79.4241469,5.179219673,473,1722.5,1,ACTB pseudogene 2 ,ACTBP2,,314,0,0
24,ENSG00000214222,STAR,2253,199.4783017,HISAT2,1787,166.7949492,5.645007848,466,2020,1,tubulin beta pseudogene 2,TUBBP2,,117,0,0
25,ENSG00000092096,STAR,2893,150.7012087,HISAT2,2443,131.9450571,5.378392707,450,2668,10,solute carrier family 22 member 17,SLC22A17,,1780,1,0
26,ENSG00000227449,STAR,2783,141.7603587,HISAT2,2339,99.27877426,5.254364151,444,2561,3,fibroblast growth factor 7 pseudogene 6 ,FGF7P6 ,,3663,52,1
27,ENSG00000234004,STAR,4186,2279.721873,HISAT2,3754,797.198143,7.892945364,432,3970,1,pseudogene similar to ribosomal protein S25 (RPS25),AC092017.1,,60,0,0
28,ENSG00000232587,STAR,2653,158.8421911,HISAT2,2262,87.27486475,5.310639257,391,2457.5,1,eukaryotic translation elongation factor 1 alpha 1 pseudogene 3,EEF1A1P3 ,,315,0,0
29,ENSG00000247311,STAR,1838,61.14721911,HISAT2,1448,55.81194238,4.489233835,390,1643,2,novel transcript,AC010255.1,,10255,40,5
30,ENSG00000165055,STAR,3482,504.1106432,HISAT2,3093,442.6426748,6.586767313,389,3287.5,7,methyltransferase like 2B,METTL2B,,6693,48,1
31,ENSG00000156697,STAR,2975,647.7291655,HISAT2,2595,556.6566508,6.830936318,380,2785,4,UTP14A small subunit processome component,UTP14A,,4033,26,0
32,ENSG00000225093,STAR,3816,507.4330076,HISAT2,3437,527.1248978,6.647682481,379,3626.5,1,ribosomal protein L3 pseudogene 7 ,RPL3P7 ,,281,0,0
33,ENSG00000271425,STAR,4410,3968.598852,HISAT2,4034,2650.762638,8.574325637,376,4222,3,NBPF member 10,NBPF10,,39275,12,13
34,ENSG00000259838,STAR,2863,260.1607846,HISAT2,2489,192.074291,5.87548656,374,2676,1,elongin C pseudogene 2,ELOCP2,,83,0,0
35,ENSG00000145012,STAR,1366,7957.985538,HISAT2,1738,7289.867669,9.359012015,-372,1552,22,LIM domain containing preferred translocation partner in lipoma,LPP,,164857,568,51
36,ENSG00000051620,STAR,3358,229.7608452,HISAT2,2986,220.0825105,5.828363391,372,3172,4,heme binding protein 2,HEBP2,,4122,18,0
37,ENSG00000233954,STAR,3320,1032.41832,HISAT2,2950,542.7605373,7.173037274,370,3135,1,ubiquinol-cytochrome c reductase hinge protein like,UQCRHL ,,539,3,0
39,ENSG00000240809,STAR,1482,172.83662,HISAT2,1125,194.6402379,5.599002305,357,1303.5,1,CAP1 pseudogene 1 ,CAP1P1,,333,0,0
40,ENSG00000178467,STAR,2856,130.2033565,HISAT2,2500,120.5816782,5.249621725,356,2678,12,"prolyl 4-hydroxylase, transmembrane",P4HTM,,3782,9,0
41,ENSG00000242607,STAR,3950,1255.547087,HISAT2,3595,613.5878222,7.353940615,355,3772.5,1,RPS3A pseudogene 34,RPS3AP34,,281,0,0
42,ENSG00000225655,STAR,3086,387.539863,HISAT2,2737,366.1224878,6.346690379,349,2911.5,2,novel transcript,BX255923.1,,1197,1,1
43,ENSG00000089101,STAR,3613,397.2359954,HISAT2,3267,379.4934095,6.374995348,346,3440,24,cilia and flagella associated protein 61,CFAP61 ,,68391,262,12
