X,GENEID,Alignment.x,Rank.x,baseMean.x,Alignment.y,Rank.y,baseMean.y,logMeanExpression,RankDiff,MeanRank,num.trans,Description,Gene_name,Somatic_recombination_before_transcription,Variant_Alleles,Dfam_conserved,Dfam_simple
1,ENSG00000151835,STAR,1040,2773.895917,HISAT2,3329,2718.411429,8.326783404,-2289,2184.5,5,sacsin molecular chaperone,SACS,,25473,71,2
2,ENSG00000215630,STAR,1995,202.6894694,HISAT2,4203,112.1484253,5.555915221,-2208,3099,1,GUSB pseudogene 9,GUSBP9,,953,14,2
3,ENSG00000168333,STAR,2966,93.73030972,HISAT2,822,89.42132153,4.930444029,2144,1894,4,pancreatic progenitor cell differentiation and proliferation factor like,PPDPFL ,,5025,25,0
4,ENSG00000198535,STAR,2684,32.21448234,HISAT2,571,31.8328612,3.873924651,2113,1627.5,1,C2 calcium dependent domain containing 4A,C2CD4A,,1160,1,0
5,ENSG00000280048,STAR,753,260.6394316,HISAT2,2780,252.8190397,5.958551175,-2027,1766.5,1,TEC,AC012409.5,,792,3,0
6,ENSG00000134184,STAR,2255,199.526657,HISAT2,4253,148.3417072,5.612023521,-1998,3254,8,glutathione S-transferase mu 1,GSTM1,,3790,2,0
7,ENSG00000254701,STAR,1509,264.7863588,HISAT2,3442,134.3173769,5.804969435,-1933,2475.5,1,"glucuronidase, beta (GUSB) pseudogene",AC138866.1,,378,14,1
8,ENSG00000253366,STAR,2054,255.5041836,HISAT2,3938,173.3243951,5.835297113,-1884,2996,1,GUSB pseudogene 16,GUSBP16,,2835,34,1
9,ENSG00000213569,STAR,2031,166.5123502,HISAT2,3761,186.297041,5.559376436,-1730,2896,1,GTF3C6 pseudogene 2,GTF3C6P2,,95,0,0
10,ENSG00000254373,STAR,2750,101.5209876,HISAT2,1179,368.6160411,5.655393759,1571,1964.5,1,ubiquinol-cytochrome c reductase binding protein (UQCRB) pseudogene,AC112191.2,,77,0,0
11,ENSG00000213089,STAR,1402,208.2280149,HISAT2,2954,106.0314134,5.565453771,-1552,2178,1,PDCL3 pseudogene 5,PDCL3P5 ,,165,0,0
12,ENSG00000236972,STAR,2352,456.9681043,HISAT2,3897,354.9779933,6.452769674,-1545,3124.5,1,fatty acid binding protein 5 pseudogene 1,FABP5P1,,86,0,0
13,ENSG00000229083,STAR,1501,544.556632,HISAT2,2961,260.6932815,6.514569381,-1460,2231,1,proteasome subunit alpha 6 pseudogene 2,PSMA6P2,,202,1,0
14,ENSG00000242562,STAR,2808,134.283009,HISAT2,4265,97.12295432,5.208635989,-1457,3536.5,1,DDB1 and CUL4 associated factor 13 pseudogene 1,DCAF13P1,,278,0,0
15,ENSG00000244722,STAR,3832,94.85276869,HISAT2,2379,65.1303372,4.847472528,1453,3105.5,1,ribosomal protein SA pseudogene 29,RPSAP29,,192,0,0
16,ENSG00000049249,STAR,2282,40.68307596,HISAT2,3686,38.83461795,4.096016246,-1404,2984,5,TNF receptor superfamily member 9,TNFRSF9 ,,6287,20,4
17,ENSG00000271425,STAR,4250,3968.598852,HISAT2,2889,2650.762638,8.574325637,1361,3569.5,3,NBPF member 10,NBPF10,,39275,12,13
18,ENSG00000261522,STAR,2673,24.59180709,HISAT2,4025,17.49251344,3.506699801,-1352,3349,2,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L) pseudogene,AL845331.2,,2479,4,1
19,ENSG00000286488,STAR,4430,22.77382141,HISAT2,3081,22.96223922,3.533830818,1349,3755.5,2,"novel transcript, antisense to STARD5",AC103858.3,,1217,7,0
20,ENSG00000273590,STAR,4005,2460.53117,HISAT2,2672,2258.991443,8.185914972,1333,3338.5,7,small integral membrane protein 11B,SMIM11B ,,1418,25,1
21,ENSG00000274680,STAR,3860,11.59631459,HISAT2,2608,11.79302042,2.861790785,1252,3234,1,myosin VB pseudogene 1,MYO5BP1,,347,0,0
22,ENSG00000260518,STAR,2895,274.9139569,HISAT2,4140,147.6242309,5.854286721,-1245,3517.5,4,BMS1 pseudogene 8 ,BMS1P8,,5984,7,1
23,ENSG00000272563,STAR,3078,14.97834548,HISAT2,4308,11.93110177,3.041847261,-1230,3693,1,novel transcript,AC016745.2,,653,7,0
24,ENSG00000250144,STAR,2903,524.9275776,HISAT2,4120,261.1653755,6.485413963,-1217,3511.5,1,eukaryotic translation elongation factor 1 alpha 1 (EEF1A1) pseudogene,AC104619.3,,376,0,0
25,ENSG00000236252,STAR,2142,113.2214381,HISAT2,3323,73.69950129,5.011109773,-1181,2732.5,2,uncharacterized LOC101928381,AL512605.1,,1950,9,4
26,ENSG00000213235,STAR,2868,601.3541465,HISAT2,4045,591.9343875,6.799414037,-1177,3456.5,1,eukaryotic translation elongation factor 1 alpha 1 pseudogene 16,EEF1A1P16 ,,303,0,0
27,ENSG00000243181,STAR,2812,3115.338557,HISAT2,3988,3506.041473,8.490512259,-1176,3400,1,ribosomal protein L21 (RPl21) pseudogene,AC087343.1,,134,0,0
28,ENSG00000273136,STAR,3140,2962.819893,HISAT2,4289,2760.334418,8.376317663,-1149,3714.5,11,NBPF member 26,NBPF26,,18316,68,8
29,ENSG00000128692,STAR,2766,1323.876841,HISAT2,3911,956.8136293,7.496809837,-1145,3338.5,1,eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 4,EIF2S2P4,,184,0,0
30,ENSG00000232037,STAR,2695,1717.75938,HISAT2,3807,1441.560741,7.799154676,-1112,3251,1,ribosomal protein L21 (RPL21) pseudogene,AL590556.1 ,,124,0,0
31,ENSG00000212710,STAR,3705,196.8304539,HISAT2,2594,115.4960259,5.539609106,1111,3149.5,2,cutaneous T cell lymphoma-associated antigen 1 ,CTAGE1 ,,1440,0,0
32,ENSG00000270629,STAR,3008,4811.336506,HISAT2,1904,3476.46402,8.787154451,1104,2456,10,NBPF member 14,NBPF14 ,,21641,55,3
33,ENSG00000225137,STAR,3025,1341.721795,HISAT2,1932,1352.16634,7.609765549,1093,2478.5,1,dynein cytoplasmic 1 intermediate chain 2 pseudogene 1,DYNC1I2P1,,469,0,0
36,ENSG00000228022,STAR,2998,20.7801865,HISAT2,4055,19.10758037,3.412268427,-1057,3526.5,4,HLA complex group 20,HCG20,,9481,59,2
37,ENSG00000188001,STAR,4404,11.89067789,HISAT2,3355,11.27491093,2.86380721,1049,3879.5,15,tumor protein p63 regulated 1 ,TPRG1,,83191,304,15
38,ENSG00000286895,STAR,2390,50.36812052,HISAT2,3438,42.82876155,4.273640732,-1048,2914,1,novel transcript,AC092745.5,,27500,98,4
39,ENSG00000241343,STAR,3076,220.3534781,HISAT2,2042,183.6338983,5.74354928,1034,2559,10,ribosomal protein L36a,RPL36A ,,1011,5,1
40,ENSG00000237749,STAR,3071,1007.771105,HISAT2,4096,907.7561306,7.287320646,-1025,3583.5,1,ribosomal protein S27 (metallopanstimulin 1) (RPS27) pseudogene,AL034379.1,,41,0,0
41,ENSG00000237904,STAR,2476,65.83642829,HISAT2,3498,41.79184363,4.462826941,-1022,2987,1,pseudogene similar to part of tripartite motif-containing protein family,BX284632.2,,2,0,0
42,ENSG00000213070,STAR,3412,106.1910908,HISAT2,2397,79.3159176,4.98257218,1015,2904.5,1,high mobility group box 3 pseudogene 6 ,HMGB3P6,,152,0,0
43,ENSG00000230847,STAR,882,633.4410708,HISAT2,1882,551.5046792,6.812557844,-1000,1382,1,OCLN pseudogene 1 ,OCLNP1 ,,1866,22,0
44,ENSG00000105373,STAR,2883,62.75117523,HISAT2,3868,50.39939069,4.47677837,-985,3375.5,12,NOP53 ribosome biogenesis factor,NOP53 ,,3790,12,0
45,ENSG00000244021,STAR,3698,6152.389028,HISAT2,2746,6711.092641,9.159882029,952,3222,1,ribosomal protein L21 (RPL21) pseudogene,AC093591.1,,106,0,0
46,ENSG00000225093,STAR,3530,507.4330076,HISAT2,2582,527.1248978,6.647682481,948,3056,1,ribosomal protein L3 pseudogene 7 ,RPL3P7 ,,281,0,0
47,ENSG00000140297,STAR,3308,14.26988745,HISAT2,2386,11.86097543,3.005701177,922,2847,10,"glucosaminyl (N-acetyl) transferase 3, mucin type",GCNT3,,15924,37,6
48,ENSG00000188985,STAR,2884,144.287712,HISAT2,3789,98.59420232,5.265715727,-905,3336.5,1,dihydrofolate reductase pseudogene 1,DHFRP1,,124,0,0
49,ENSG00000186466,STAR,1617,20.37257819,HISAT2,2512,16.41184687,3.352654744,-895,2064.5,1,aquaporin 7 pseudogene 1,AQP7P1,,5000,19,0
50,ENSG00000286156,STAR,1124,371.280074,HISAT2,2001,237.289761,6.194252225,-877,1562.5,2,"BMS1, ribosome biogenesis factor (BMS1) pseudogene",AC026273.1,,3622,3,0
51,ENSG00000189227,STAR,2968,45.55571574,HISAT2,2094,41.3275628,4.192974938,874,2531,4,chromosome 15 open reading frame 61,C15orf61,,2086,2,0
52,ENSG00000105185,STAR,3258,640.459289,HISAT2,4127,594.1694793,6.843263721,-869,3692.5,8,programmed cell death 5,PDCD5,,1750,9,0
53,ENSG00000235981,STAR,2531,15.77740716,HISAT2,3392,14.98576756,3.14717748,-861,2961.5,1,ubiquitin-conjugating enzyme E2 (UBE2Q2) pseudogene,AC023274.2,,24,12,0
54,ENSG00000188765,STAR,3066,3343.540213,HISAT2,3925,1430.204925,8.30860388,-859,3495.5,NA,,,,,,
55,ENSG00000235583,STAR,2611,15.58919115,HISAT2,3468,14.69915777,3.132828493,-857,3039.5,NA,,,,,,
56,ENSG00000092096,STAR,4407,150.7012087,HISAT2,3556,131.9450571,5.378392707,851,3981.5,NA,,,,,,
57,ENSG00000279688,STAR,688,32.59711808,HISAT2,1538,22.44984139,3.780136859,-850,1113,1,,,,,,
58,ENSG00000233729,STAR,3864,37.4465468,HISAT2,3014,35.91560913,4.014658135,850,3439,NA,,,,,,
59,ENSG00000149196,STAR,2701,2421.692968,HISAT2,3537,2134.991927,8.15742459,-836,3119,NA,,,,,,
60,ENSG00000247311,STAR,3857,61.14721911,HISAT2,3027,55.81194238,4.489233835,830,3442,NA,,,,,,
61,ENSG00000155621,STAR,3107,533.5660995,HISAT2,3933,500.3518416,6.66407991,-826,3520,NA,,,,,,
62,ENSG00000254206,STAR,3685,534.9069927,HISAT2,2863,320.9206311,6.544440207,822,3274,6,,,,,,
63,ENSG00000259916,STAR,1258,17.09157926,HISAT2,2074,12.87137314,3.158159997,-816,1666,1,,,,,,
64,ENSG00000277737,STAR,3035,10.99688661,HISAT2,3848,7.439857556,2.688990744,-813,3441.5,NA,,,,,,
65,ENSG00000273496,STAR,2738,52.5700188,HISAT2,1927,41.06974693,4.29189529,811,2332.5,NA,,,,,,
66,ENSG00000159259,STAR,3845,55.48732579,HISAT2,3039,52.06913215,4.400871596,806,3442,3,,,,,,
67,ENSG00000224599,STAR,1130,297.0371225,HISAT2,1931,190.5574584,5.972067259,-801,1530.5,NA,,,,,,
68,ENSG00000089101,STAR,4244,397.2359954,HISAT2,3447,379.4934095,6.374995348,797,3845.5,NA,,,,,,
69,ENSG00000227408,STAR,1450,97.50644509,HISAT2,2242,68.79449731,4.882072063,-792,1846,1,,,,,,
70,ENSG00000184160,STAR,2788,21.75116416,HISAT2,3578,18.91623202,3.440715492,-790,3183,2,,,,,,
71,ENSG00000229944,STAR,4256,3388.636777,HISAT2,3471,2431.619088,8.434777707,785,3863.5,NA,,,,,,
72,ENSG00000178467,STAR,4309,130.2033565,HISAT2,3528,120.5816782,5.249621725,781,3918.5,NA,,,,,,
73,ENSG00000138433,STAR,4387,1815.638351,HISAT2,3607,1602.927677,7.86982295,780,3997,NA,,,,,,
74,ENSG00000271057,STAR,2540,32.59775386,HISAT2,3319,24.12704598,3.799106836,-779,2929.5,NA,,,,,,
75,ENSG00000267106,STAR,3462,353.549968,HISAT2,2693,332.317392,6.253268393,769,3077.5,NA,,,,,,
76,ENSG00000224908,STAR,3276,231.5693505,HISAT2,4042,148.6854145,5.723297668,-766,3659,NA,,,,,,
77,ENSG00000051620,STAR,4272,229.7608452,HISAT2,3513,220.0825105,5.828363391,759,3892.5,NA,,,,,,
78,ENSG00000176681,STAR,3080,471.6371073,HISAT2,3836,406.2443509,6.514356009,-756,3458,3,,,,,,
79,ENSG00000186094,STAR,2764,44.48377464,HISAT2,3519,41.13716379,4.175192431,-755,3141.5,NA,,,,,,
80,ENSG00000242140,STAR,3604,77.92313255,HISAT2,2852,57.88308034,4.671563293,752,3228,NA,,,,,,
81,ENSG00000185485,STAR,3305,325.9807605,HISAT2,4054,290.9670119,6.155843312,-749,3679.5,NA,,,,,,
82,ENSG00000150361,STAR,3607,47.32040257,HISAT2,2860,44.15572789,4.239861889,747,3233.5,NA,,,,,,
83,ENSG00000178927,STAR,2435,67.36623992,HISAT2,3180,52.40570738,4.538700133,-745,2807.5,NA,,,,,,
84,ENSG00000220842,STAR,3827,19754.81517,HISAT2,3087,16107.20697,10.23309408,740,3457,1,,,,,,
85,ENSG00000241612,STAR,3271,4610.490761,HISAT2,4009,2700.00567,8.692908575,-738,3640,1,,,,,,
86,ENSG00000165028,STAR,2338,132.1964955,HISAT2,3073,109.0360272,5.229580761,-735,2705.5,NA,,,,,,
87,ENSG00000103184,STAR,1871,8.588904767,HISAT2,2595,7.399501104,2.508676505,-724,2233,NA,,,,,,
88,ENSG00000284418,STAR,3230,16.40012709,HISAT2,3954,15.57593764,3.185860608,-724,3592,NA,,,,,,
89,ENSG00000089041,STAR,4230,13.17422679,HISAT2,3507,10.379811,2.91039943,723,3868.5,NA,,,,,,
90,ENSG00000233579,STAR,4025,45.66273401,HISAT2,3306,44.00334098,4.214560259,719,3665.5,1,,,,,,
91,ENSG00000267327,STAR,3578,8.374669816,HISAT2,2864,8.475060595,2.534664608,714,3221,NA,,,,,,
92,ENSG00000139182,STAR,4023,33.83191638,HISAT2,3313,32.10955051,3.909754267,710,3668,16,,,,,,
93,ENSG00000184619,STAR,4282,165.2290628,HISAT2,3572,153.6942377,5.489252477,710,3927,5,,,,,,
94,ENSG00000205277,STAR,1132,17.61430067,HISAT2,1839,12.3309059,3.16883453,-707,1485.5,6,,,,,,
95,ENSG00000138675,STAR,1099,41.17521497,HISAT2,397,39.98919257,4.113653788,702,748,NA,,,,,,
96,ENSG00000105254,STAR,3520,99.39855741,HISAT2,4204,91.6337627,4.978218424,-684,3862,NA,,,,,,
97,ENSG00000258427,STAR,2874,406.7694447,HISAT2,3544,348.1349909,6.364470064,-670,3209,NA,,,,,,
98,ENSG00000125864,STAR,2112,17.31546515,HISAT2,1447,16.30461323,3.2374138,665,1779.5,NA,,,,,,
99,ENSG00000232533,STAR,3473,21.99688818,HISAT2,4136,20.78288175,3.477798143,-663,3804.5,NA,,,,,,
100,ENSG00000287312,STAR,895,45.71341671,HISAT2,1555,36.01255527,4.154493688,-660,1225,NA,,,,,,
101,ENSG00000138641,STAR,3573,101.7095206,HISAT2,4233,99.37523927,5.019906452,-660,3903,1,,,,,,
102,ENSG00000184047,STAR,3931,43.11602856,HISAT2,3274,41.49753564,4.156768292,657,3602.5,NA,,,,,,
103,ENSG00000134153,STAR,3925,487.9839577,HISAT2,3276,468.1676232,6.582118998,649,3600.5,NA,,,,,,
104,ENSG00000253693,STAR,4261,12.07503976,HISAT2,3614,12.22045831,2.900611866,647,3937.5,NA,,,,,,
105,ENSG00000099783,STAR,4234,441.9176197,HISAT2,3594,414.1820299,6.475446021,640,3914,NA,,,,,,
106,ENSG00000286506,STAR,1589,47.08985212,HISAT2,2227,36.74361318,4.181464608,-638,1908,2,,,,,,
